Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link,Date,Stolen,Model Year,Damage Severity
Honda,Accord,Yes,600.0,276173.0,0.0," Interior Damage, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006513676/2004-honda-accord-eurol-2-4-4d-sed-5a-sedan?referringPage=SearchResults,2023-08-30,Yes,2004,Light
Ford,Transit,Yes,900.0,299253.0,2.0," Engine Damage, Impact Heavy - Front, Selling Registered","Manual,",12.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006530707/2006-ford-transit-tran-12-seater-bus-van?referringPage=SearchResults,2023-08-08,No,2006,Heavy
ALFA,Romeo,Yes,900.0,87260.0,1.0," Front Damage, Left Front Damage, Impact Heavy - Front, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006535869/2004-alfa-romeo-hatch?referringPage=SearchResults,2023-06-21,No,2004,Heavy
CF Moto,650nk,Yes,1850.0,5915.0,0.0," Engine Runs, Impact Medium - Left Side, Selling Registered",,,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006547029/2022-cfmoto-650nk-motorcycle?referringPage=SearchResults,2023-09-17,No,2022,Medium
Nissan,Bluebird,Yes,775.0,155562.0,1.0," Glass Broken, Interior Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006548345/2008-nissan-bluebird-sylphy-sedan?referringPage=SearchResults,2023-07-02,Yes,2008,Light
Suzuki,Swift,Yes,875.0,112971.0,0.0," Front Damage, Right Front Damage, Right Side Damage, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006572219/2007-suzuki-swift-hatch?referringPage=SearchResults,2023-08-13,No,2007,Light
Mazda,Demio,Yes,2725.0,101189.0,0.0," Interior Damage, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006572661/2007-mazda-demio-hatch?referringPage=SearchResults,2023-07-09,Yes,2007,Light
Mazda,Demio,Yes,675.0,130712.0,0.0," Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006572687/2004-mazda-demio-hatch?referringPage=SearchResults,2023-09-03,Yes,2004,Light
Nissan,Bluebird,Yes,1225.0,116702.0,0.0," Malicious/Vandalised, Vandalised - Interior, Stolen & Recovered, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006579919/2006-nissan-bluebird-sedan?referringPage=SearchResults,2023-07-30,Yes,2006,Light
Toyota,Vitz,Yes,1050.0,135329.0,0.0," Front Damage, Glass Broken, Ignition Damage, Left Side Damage, Rear Damage, Right Front Damage, Impact Heavy - Right Side, Vandalised - Interior, Stolen & Recovered, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006580266/2005-toyota-vitz-1-3l-hatch?referringPage=SearchResults,2023-09-13,Yes,2005,Heavy
Volkswagen,Bora,Yes,300.0,172202.0,1.0," Left Front Damage, Right Front Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006583766/2005-volkswagen-bora-hatch?referringPage=SearchResults,2023-07-06,No,2005,Light
Nissan,Tiida,Yes,1400.0,163793.0,1.0," Vandalised - Interior, Impact Light - Front, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006591885/2007-nissan-tiida-sedan?referringPage=SearchResults,2023-06-07,Yes,2007,Light
Nissan,Wingroad,Yes,700.0,146846.0,0.0," Interior Damage, Ignition Damage, Left Front Damage, Impact Heavy - Left Side, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006593293/2006-nissan-wingroad-station-wagon?referringPage=SearchResults,2023-07-08,Yes,2006,Heavy
Ford,Focus,Yes,150.0,210094.0,1.0," Left Side Damage, Impact Heavy - Left Side, Suspension Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006594913/2001-ford-focus-station-wagon?referringPage=SearchResults,2023-07-27,No,2001,Heavy
Toyota,Vitz,Yes,825.0,194356.0,0.0," Interior Damage, Ignition Damage, Left Side Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006595203/2004-toyota-vitz-hatch?referringPage=SearchResults,2023-07-02,Yes,2004,Light
Subaru,Legacy,Yes,500.0,273848.0,0.0," Interior Damage, Ignition Damage, Stolen & Recovered, Selling Registered","Automatic,",9,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006595762/2003-subaru-legacy-gt30-station-wagon?referringPage=SearchResults,2023-06-15,Yes,2003,Light
Toyota,Vitz,Yes,950.0,172794.0,0.0," Right Rear Damage, Selling Registered",,5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006595888/2004-toyota-vitz-hatch?referringPage=SearchResults,2023-07-10,No,2004,Light
