Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Toyota,Hilux,Yes,N/A,N/A,0," Ignition Damage, Stolen & Recovered, Selling Registered","5spd Manual,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006860086/2010-toyota-hilux-3-0td-2wd-dc-5m-dual-cab-utility?referringPage=SearchResults
Nissan,Serena,No,$0,N/A,0," Airbags Deployed, Front Damage, Right Front Damage, Impact Heavy - Front, Selling De-Registered",N/A,8,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000006860088/2013-nissan-serena-hybrid-station-wagon?referringPage=SearchResults
Honda,CRV,No,$0,N/A,1," Airbags Deployed, Front Damage, Impact Medium - Front, Airbags Deployed, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870083/2006-honda-crv-station-wagon?referringPage=SearchResults
Mercedes-Benz,CLA250,No,N/A,"75,569",1," Rear Damage, Impact Heavy - Rear, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870101/2014-mercedes-benz-cla250-sedan?referringPage=SearchResults
Kia,Soul,No,$0,"38,789",1," Rear Damage, Impact Heavy - Right Side, Selling De-Registered","7spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870104/2018-kia-soul-turbo-1-6p-7am-hatch?referringPage=SearchResults
Mazda,Bounty,Yes,$0,N/A,0," Ignition Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","5spd Manual,",3,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006870108/2003-mazda-bounty-std-cab-c-c-2wd-td-utility?referringPage=SearchResults
Toyota,Corolla,No,$0,N/A,1," Rear Damage, Impact Heavy - Rear, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870115/2012-toyota-corolla-1-8p-gx-hatch-5-4a-hatch?referringPage=SearchResults
Toyota,Ipsum,No,$0,N/A,1," Front Damage, Ignition Damage, Left Front Damage, Right Front Damage, Selling De-Registered",N/A,7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006860113/2008-toyota-ipsum-240i-station-wagon?referringPage=SearchResults
Toyota,Blade,No,$0,N/A,1," Right Side Damage, Impact Heavy - Right Side, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870122/2007-toyota-blade-hatch?referringPage=SearchResults
BMW,330i,No,$0,"185,987",2," Right Rear Damage, Impact Medium - Right Side, Suspension Damage, Selling De-Registered","6spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870123/2008-bmw-330i-sedan-6a-4dr-3-0l-sedan?referringPage=SearchResults
Suzuki,Swift,No,$0,"177,137",1," Left Side Damage, Impact Light - Front, Impact Light - Left Side, Impact Light - Right Side, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870127/2014-suzuki-swift-hatch?referringPage=SearchResults
Audi,S5,No,N/A,N/A,1," Rear Damage, Right Rear Damage, Impact Heavy - Rear, Selling De-Registered",N/A,4,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870131/2017-audi-s5-s5-coupe-3-0tfsi-3--sedan?referringPage=SearchResults
Toyota,RAV4,No,$0,N/A,1," Front Damage, Impact Heavy - Front, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870140/2006-toyota-rav4-station-wagon?referringPage=SearchResults
Mazda,Demio,Yes,$0,N/A,0," Interior Damage, Left Rear Damage, Roof Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870144/2006-mazda-demio-hatch?referringPage=SearchResults
MINI,Clubman,No,$0,"90,705",1," Rear Damage, Impact Medium - Front, Impact Light - Rear, Selling De-Registered",N/A,4,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870146/2009-mini-clubman-hatch?referringPage=SearchResults
Toyota,Markx,Yes,$0,N/A,1," Ignition Damage, Vandalised - Interior, Impact Light - Right Side, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870155/2008-toyota-markx-sedan?referringPage=SearchResults
Mercedes-Benz,E200,Yes,$0,"79,632",1," Front Damage, Impact Medium - Front, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006860257/2011-mercedes-benz-e200-sedan?referringPage=SearchResults
Toyota,Yaris,Yes,$0,"327,553",1," Front Damage, Impact Light - Front, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870261/2010-toyota-yaris-t130-1-3p-hatch5-5m-hatch?referringPage=SearchResults
Skoda,Octavia,No,$0,"214,014",0," Rear Damage, Right Side Damage, Impact Heavy - Front, Selling De-Registered","7spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870268/2017-skoda-octavia-rs-tsi-162kw-6man-l-sedan?referringPage=SearchResults
Audi,A8,No,$0,"103,759",1," Front Damage, Impact Medium - Front, Selling De-Registered","6spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870270/2008-audi-a8-sedan?referringPage=SearchResults
Mitsubishi,Outlander,No,N/A,"44,884",1," Right Side Damage, Airbags Deployed, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870298/2017-mitsubishi-outlander-ls-2-0p-cvt-station-wagon?referringPage=SearchResults
Toyota,Aqua,Yes,N/A,"59,479",0," Glass Broken, Ignition Damage, Impact Heavy - Left Side, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000006870316/2016-toyota-aqua-hatch?referringPage=SearchResults
BMW,335i,No,N/A,"88,212",1," Right Side Damage, Impact Heavy - Front, Impact Heavy - Right Side, Airbags Deployed, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870328/2013-bmw-335i-sedan-4dr-8a-3-0l-sedan?referringPage=SearchResults
Mazda,CX-5,No,$0,N/A,0," Airbags Deployed, Left Front Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006860383/2016-mazda-cx-5-gsx-station-wagon?referringPage=SearchResults
Toyota,Camry,No,$0,N/A,1," Front Damage, Rear Damage, Impact Heavy - Front, Impact Heavy - Rear, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870412/2012-toyota-camry-gl-steel-2-5p-sdn-6-sedan?referringPage=SearchResults
Subaru,Impreza,Yes,$0,N/A,0," Ignition Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870419/2005-subaru-impreza-2-0-gx-hatch-auto-station-wagon?referringPage=SearchResults
Toyota,Prius,No,$0,"277,369",1," Front Damage, Impact Heavy - Left Side, Impact Medium - Front, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000006870420/2012-toyota-prius-hatch?referringPage=SearchResults
Jaguar,XF,No,N/A,"102,953",1," Front Damage, Impact Medium - Front, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006860434/2013-jaguar-xf-sedan?referringPage=SearchResults
